Duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
2.22411,0,0,0,0,0,0,0,0,0,0,0,0,0.363353,-0.298818,0.0917087,-0.0101377,1,0,0,0,0.0693196,-0.0748575,0.0270941,-0.00334976,0,0,0,0,0,0,0,0
1.98899,0,0,0,0,0,0,0,0,1,0.78737,-0.0165985,-0.0517736,-0.24755,0.26495,-0.0966825,0.0123411,1,-0.0990369,-0.0620464,0.00665341,-0.052966,0.128748,-0.0652944,0.0101824,0,0,0,0,0,0,0,0
2.47594,0,0,0,0,0,0,0,0,2,0.339492,0.0167544,0.00530847,-0.162253,0.114313,-0.0328637,0.00352088,1,0.358851,0.179019,-0.0192384,0.128113,-0.168518,0.0629969,-0.00761123,0,0,0,0,0,0,0,0
3.75151,0,0,0,0,0,0,0,0,2,-0.520385,-0.206812,0.060905,-0.0742739,0.0554869,-0.0139626,0.00115232,2,-0.0996022,-0.190281,0.0313709,-0.0372202,0.0317111,-0.00825208,0.000689223,0,0,0,0,0,0,0,0
