Duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
3.21236,1,0,0,0,-0.00438418,0.00539161,-0.00171803,0.000171001,1,0,0,0,0.0199125,-0.0255547,0.00816775,-0.000808527,1,0,0,0,0.310667,-0.211933,0.0523562,-0.00453951,0,0,0,0,0,0,0,0
3.16421,1.09321,0.0785352,2.20715e-15,-0.00165776,-0.0149387,0.0095765,-0.00220303,0.00017893,0.5,-0.421269,-1.01674e-14,0.0204717,0.0654945,-0.04443,0.0103552,-0.000844282,3.09321,0.892829,4.09505e-14,-0.0857031,0.275537,-0.204895,0.0554785,-0.0051415,0,0,0,0,0,0,0,0
